Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
DULAGLUTIDE, -   ,0.00%,100.00%,NEXT,,,
DULOXETINE," 2,527,266 ",0.40%,60.17%,IN,,,
DUTASTERIDE," 1,589,344 ",0.25%,71.38%,IN,,,
DUTASTERIDE!TAMSULOSIN," 4,772 ",0.00%,99.89%,,,,
DYCLONINE, 12 ,0.00%,100.00%,,,,
ECHINACEA ANGUSTIFOLA, 490 ,0.00%,99.99%,,,,
ECHINACEA PURPUREA, 31 ,0.00%,100.00%,,,,
ECONAZOLE, -   ,0.00%,100.00%,,,,
ECOTHIOPATE, 29 ,0.00%,100.00%,,,,
ECULIZUMAB," 3,240 ",0.00%,99.93%,,,,
EDETIC ACID!POLYAMINOPROPYL BIGUANIDE, -   ,0.00%,100.00%,,,,
EFAVIRENZ," 15,531 ",0.00%,99.66%,,,,
EFAVIRENZ!EMTRICITABINE!TENOFOVIR DISOPROXIL," 40,593 ",0.01%,99.00%,,,,
EFINACONAZOLE," 220,751 ",0.03%,94.79%,NEXT,,,
EFLORNITHINE," 6,013 ",0.00%,99.86%,,,,
EGGSHELL MEMBRANE, 21 ,0.00%,100.00%,,,,
EGGSHELL MEMBRANE!GLUCOSAMINE, -   ,0.00%,100.00%,,,,
EICOSAPENTANOIC ACID," 14,574 ",0.00%,99.68%,,,,
ELBASVIR!GRAZOPREVIR, -   ,0.00%,100.00%,,,,
ELECTROLYTES," 13,979 ",0.00%,99.70%,,,,
ELETRIPTAN," 168,856 ",0.03%,95.78%,IN QA,,,
ELEUTHEROCOCCUS SENTICOSUS, 31 ,0.00%,100.00%,,,,
ELOSULFASE ALFA, 267 ,0.00%,99.99%,,,,
ELTROMBOPAG," 3,252 ",0.00%,99.93%,,,,
EMEDASTINE, 7 ,0.00%,100.00%,,,,
EMETINE!NORMETHADONE!P-HYDROXYEPHEDRINE, -   ,0.00%,100.00%,,,,
EMPAGLIFLOZIN," 7,169 ",0.00%,99.83%,NEXT,,,
EMTRICITABINE!RILPIVIRINE!TENOFOVIR DISOPROXIL," 19,715 ",0.00%,99.55%,,,,
EMTRICITABINE!TENOFOVIR DISOPROXIL," 116,453 ",0.02%,96.94%,,,,
ENALAPRIL," 908,589 ",0.14%,81.69%,IN,Analysis,High,
ENALAPRIL!HYDROCHLOROTHIAZIDE," 35,024 ",0.01%,99.17%,,Analysis,High,
ENALAPRILAT, 5 ,0.00%,100.00%,,,,
ENFUVIRTIDE, 127 ,0.00%,100.00%,,,,
ENOXAPARIN," 105,288 ",0.02%,97.32%,,,,
ENTACAPONE," 61,441 ",0.01%,98.53%,,,,
ENTECAVIR," 15,051 ",0.00%,99.67%,,,,
ENTEROCOCCUS FAECIUM, -   ,0.00%,100.00%,,,,
ENTSULFON!LANOLIN!PETROLATUM, 47 ,0.00%,100.00%,,,,
ENZALUTAMIDE," 4,202 ",0.00%,99.90%,,,,
EPHEDRINE, 613 ,0.00%,99.99%,IN QA,,,
EPINEPHRINE," 639,311 ",0.10%,86.30%,IN,,,
EPINEPHRINE!LIDOCAINE," 3,924 ",0.00%,99.91%,,,,
EPIRUBICIN, 2 ,0.00%,100.00%,,,,
EPLERENONE," 51,168 ",0.01%,98.75%,IN,,,
EPOPROSTENOL, 195 ,0.00%,100.00%,,,,
EPROSARTAN," 48,522 ",0.01%,98.81%,,,,
EPROSARTAN!HYDROCHLOROTHIAZIDE," 21,835 ",0.00%,99.50%,,,,
EPTIFIBATIDE, -   ,0.00%,100.00%,,,,
ERGOCALCIFEROL," 232,325 ",0.04%,94.47%,NEXT,,,
ERGOCALCIFEROL!IRON FERRIC!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 83 ,0.00%,100.00%,,,,
ERGOCALCIFEROL!LECITHIN, -   ,0.00%,100.00%,,,,
ERGOCALCIFEROL!MAGNESIUM, -   ,0.00%,100.00%,,,,
ERGOCALCIFEROL!NIACINAMIDE!PROPARACAINE!RIBOFLAVIN!THIAMINE, 7 ,0.00%,100.00%,,,,
ERGOCALCIFEROL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, -   ,0.00%,100.00%,,,,
ERGOCALCIFEROL!PHYTONADIONE, 440 ,0.00%,99.99%,,,,
ERGOCALCIFEROL!VITAMIN A," 4,673 ",0.00%,99.89%,,,,
ERGOLOID, 228 ,0.00%,100.00%,,,,
ERGONOVINE, 139 ,0.00%,100.00%,,,,
ERGOTAMINE, -   ,0.00%,100.00%,,,,
ERIBULIN, 1 ,0.00%,100.00%,,,,
ERLOTINIB," 3,391 ",0.00%,99.93%,,,,
ERTAPENEM," 21,084 ",0.00%,99.52%,,,,
ERYTHROMYCIN," 427,560 ",0.07%,90.36%,IN,,,
ERYTHROMYCIN!ETHANOL, 8 ,0.00%,100.00%,,,,
ERYTHROMYCIN!SULFISOXAZOLE, -   ,0.00%,100.00%,,,,
ERYTHROMYCIN!TRETINOIN, 592 ,0.00%,99.99%,,,,
ERYTHROPOIETIN ALPHA," 52,802 ",0.01%,98.72%,,,,
ESCHSCHOLZIA CALIFORNICA, 337 ,0.00%,99.99%,,,,
ESCITALOPRAM," 4,129,301 ",0.65%,45.12%,IN,,,
ESLICARBAZEPINE ACETATE, 901 ,0.00%,99.98%,,,,
ESMOLOL, 61 ,0.00%,100.00%,IN,,,
ESOMEPRAZOLE," 2,530,643 ",0.40%,59.77%,IN,,,
ESOMEPRAZOLE!NAPROXEN," 661,636 ",0.10%,85.99%,IN,,,
ESTAZOLAM, -   ,0.00%,100.00%,In QA,,,
ESTRADIOL," 2,607,696 ",0.41%,59.38%,IN,Rev Bur,low,
ESTRADIOL!LEVONORGESTREL," 5,604 ",0.00%,99.87%,,,,
ESTRADIOL!NORETHINDRONE," 22,890 ",0.00%,99.48%,,,,
ESTRADIOL!PROGESTERONE, 759 ,0.00%,99.98%,,,,
ESTRADIOL!TESTOSTERONE BENZOYLHYDRAZONE, 69 ,0.00%,100.00%,,,,
ESTRAMUSTINE, 14 ,0.00%,100.00%,,,,
"ESTROGENIC SUB,CONJUGATED"," 1,169,489 ",0.18%,77.66%,IN,,,
"ESTROGENIC SUB,CONJUGATED!MEDROXYPROGESTERONE", 6 ,0.00%,100.00%,,,,
"ESTROGENIC SUB,ESTERIFIED", -   ,0.00%,100.00%,,,,
ESTRONE," 22,986 ",0.00%,99.47%,,,,
ESTROPIPATE, 1 ,0.00%,100.00%,,,,
ETANERCEPT," 182,232 ",0.03%,95.37%,,,,
ETHACRYNIC ACID," 7,397 ",0.00%,99.83%,,,,
ETHAMBUTOL," 15,428 ",0.00%,99.66%,,,,
ETHANOL, 985 ,0.00%,99.98%,,,,
ETHANOL!EUCALYPTOL!MENTHOL!THYMOL, 443 ,0.00%,99.99%,,,,
ETHANOLAMINE, -   ,0.00%,100.00%,,,,
ETHCHLORVYNOL, 65 ,0.00%,100.00%,,,,
ETHINYLESTRADIOL!ETHYNODIOL," 116,308 ",0.02%,96.96%,,,,
ETHINYLESTRADIOL!ETONOGESTREL," 542,056 ",0.08%,88.54%,IN,Rev Bur,?,
ETHINYLESTRADIOL!LEVONORGESTREL," 3,640,451 ",0.57%,48.14%,IN,Rev Bur,low,
ETHINYLESTRADIOL!NORELGESTROMIN," 333,387 ",0.05%,92.05%,IN,Rev Bur,?,
ETHINYLESTRADIOL!NORETHINDRONE," 541,054 ",0.08%,88.62%,IN,Rev Bur,low,
ETHINYLESTRADIOL!NORGESTIMATE," 1,729,823 ",0.27%,70.09%,IN,Rev Bur,low,
ETHINYLESTRADIOL!NORGESTREL, 8 ,0.00%,100.00%,,,,
ETHOSUXIMIDE," 18,682 ",0.00%,99.58%,,,,
ETIDRONIC ACID," 2,705 ",0.00%,99.94%,,,,
ETODOLAC," 4,874 ",0.00%,99.88%,,,,
ETOPOSIDE," 1,756 ",0.00%,99.96%,,,,
ETRAVIRINE," 19,045 ",0.00%,99.57%,,,,
EUCALYPTOL, 4 ,0.00%,100.00%,,,,
EUCALYPTOL!MENTHOL, 73 ,0.00%,100.00%,,,,
EUCALYPTUS, 13 ,0.00%,100.00%,,,,
EUCALYPTUS!MENTHOL, 397 ,0.00%,99.99%,,,,
EUCALYPTUS!MENTHOL!ZINC, 1 ,0.00%,100.00%,,,,
EUPHAUSIA SUPERBA," 1,967 ",0.00%,99.96%,,,,
EVENING PRIMROSE," 2,061 ",0.00%,99.95%,,,,
EVENING PRIMROSE!VITAMIN E, -   ,0.00%,100.00%,,,,
EVEROLIMUS," 4,917 ",0.00%,99.88%,,,,
EVOLOCUMAB, 149 ,0.00%,100.00%,,,,
EXEMESTANE," 36,279 ",0.01%,99.12%,,,,
EXENATIDE," 4,106 ",0.00%,99.91%,IN QA,,,
EZETIMIBE," 2,516,780 ",0.39%,60.56%,IN,,,
FACIAL CLEANSER, 7 ,0.00%,100.00%,,,,
FACIAL CREAM, 2 ,0.00%,100.00%,,,,
FAMCICLOVIR," 171,323 ",0.03%,95.67%,,,,
FAMOTIDINE," 99,023 ",0.02%,97.65%,,,,
FAMPRIDINE," 19,061 ",0.00%,99.57%,,,,
FEBUXOSTAT," 98,788 ",0.02%,97.68%,,,,
FELODIPINE," 483,512 ",0.08%,89.17%,IN,,,
FENNEL!SODIUM, 37 ,0.00%,100.00%,,,,
FENOFIBRATE," 1,317,517 ",0.21%,74.98%,IN,,,
FENOTEROL, -   ,0.00%,100.00%,,,,
FENOTEROL!IPRATROPIUM, 155 ,0.00%,100.00%,,,,
FENTANYL," 777,833 ",0.12%,83.76%,IN,,,
FESOTERODINE," 361,056 ",0.06%,91.39%,NEXT,,,
FEXOFENADINE," 13,157 ",0.00%,99.72%,,,,
FEXOFENADINE!PSEUDOEPHEDRINE," 1,028 ",0.00%,99.98%,,,,
FIDAXOMICIN, 406 ,0.00%,99.99%,,,,
FILGRASTIM," 69,769 ",0.01%,98.28%,,,,
FINASTERIDE," 1,229,838 ",0.19%,75.97%,IN,,,
FINGOLIMOD," 32,717 ",0.01%,99.24%,,,,
FISH," 23,139 ",0.00%,99.47%,,,,
FISH!OENOTHERA BIENNIS, 526 ,0.00%,99.99%,,,,
FISH!OLIVE!SOYA!TRIGLYCERIDES, -   ,0.00%,100.00%,,,,
FISH!TETROQUINONE, 268 ,0.00%,99.99%,,,,
FLAVOXATE, 4 ,0.00%,100.00%,,,,
FLECAINIDE," 102,762 ",0.02%,97.46%,,,,
FLOCTAFENINE," 2,687 ",0.00%,99.94%,,,,
FLUCLOXACILLIN, -   ,0.00%,100.00%,,,,
FLUCONAZOLE," 762,512 ",0.12%,84.00%,IN,,,
FLUCONAZOLE!MICONAZOLE, 20 ,0.00%,100.00%,,,,
FLUDARABINE, 316 ,0.00%,99.99%,,,,
FLUDROCORTISONE," 168,138 ",0.03%,95.83%,,,,
FLUMAZENIL," 1,223 ",0.00%,99.97%,,,,
FLUMETASONE, -   ,0.00%,100.00%,,,,
FLUNARIZINE," 18,289 ",0.00%,99.59%,,,,
FLUNISOLIDE," 1,528 ",0.00%,99.97%,,,,
FLUOCINOLONE ACETONIDE," 53,446 ",0.01%,98.69%,,,,
FLUOCINONIDE," 203,174 ",0.03%,94.92%,NEXT,,,
FLUORESCEIN, 422 ,0.00%,99.99%,,,,
FLUORESCEIN!OXYBUPROCAINE, 170 ,0.00%,100.00%,,,,
FLUORIDE, 263 ,0.00%,99.99%,,,,
FLUOROFORM, 472 ,0.00%,99.99%,,,,
FLUOROMETHOLONE," 80,100 ",0.01%,97.98%,,,,
FLUOROMETHOLONE!POLYVINYL ALCOHOL," 57,116 ",0.01%,98.59%,,,,
FLUOROURACIL," 76,474 ",0.01%,98.10%,,,,
FLUOROURACIL!SALICYLIC ACID, -   ,0.00%,100.00%,,,,
FLUOXETINE," 1,398,798 ",0.22%,73.49%,IN,,,
FLUPENTIXOL," 102,915 ",0.02%,97.43%,,,,
FLUPHENAZINE," 64,181 ",0.01%,98.38%,,,,
FLURANDRENOLIDE, 11 ,0.00%,100.00%,,,,
FLURAZEPAM," 303,220 ",0.05%,92.94%,IN,,,
FLURBIPROFEN," 14,458 ",0.00%,99.68%,,,,
FLUTAMIDE," 3,027 ",0.00%,99.93%,,,,
FLUTICASONE," 3,539,469 ",0.55%,48.69%,IN,Rev Bur,low,
FLUTICASONE FUROATE, -   ,0.00%,100.00%,,,,
FLUTICASONE!SALMETEROL," 2,207,243 ",0.35%,63.83%,IN,,,
FLUTICASONE!VILANTEROL," 46,011 ",0.01%,98.91%,IN QA,,,
FLUVASTATIN," 147,312 ",0.02%,96.37%,,,,
FLUVOXAMINE," 275,503 ",0.04%,93.43%,NEXT,,,
FOLIC ACID," 1,982,304 ",0.31%,66.07%,IN,,,
FOLIC ACID!IRON  FERROUS, 6 ,0.00%,100.00%,,,,
FOLIC ACID!LACTOBACILLUS CASEI!LACTOBACILLUS RHAMNOSUS," 13,164 ",0.00%,99.72%,,,,
FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 17,844 ",0.00%,99.60%,,,,
FOLLICLE-STIMULATING HORMONE," 17,038 ",0.00%,99.62%,,,,
FOLLITROPIN ALPHA," 22,527 ",0.00%,99.49%,,,,
FOLLITROPIN BETA," 7,063 ",0.00%,99.84%,,,,
FOMEPIZOLE, -   ,0.00%,100.00%,,,,
FONDAPARINUX," 2,710 ",0.00%,99.94%,,,,
FORMOTEROL," 87,743 ",0.01%,97.86%,IN QA,,,
FORMOTEROL!MOMETASONE," 181,155 ",0.03%,95.40%,IN QA,,,
FOSAMPRENAVIR, 752 ,0.00%,99.98%,,,,
FOSAPREPITANT, 7 ,0.00%,100.00%,,,,
FOSFOMYCIN," 70,860 ",0.01%,98.27%,,,,
FOSINOPRIL," 475,316 ",0.07%,89.32%,IN,,,
FOSPHENYTOIN, 24 ,0.00%,100.00%,,,,
FRAMYCETIN, 134 ,0.00%,100.00%,,,,
FRAMYCETIN!GRAMICIDIN, 1 ,0.00%,100.00%,,,,
FRAMYCETIN!GRAMICIDIN!PHENYLEPHRINE," 7,074 ",0.00%,99.84%,,,,
FROVATRIPTAN," 36,067 ",0.01%,99.13%,,,,
FULVESTRANT," 2,866 ",0.00%,99.93%,,,,
FUROSEMIDE," 8,874,855 ",1.39%,20.16%,IN,Rev Bur,low,
FUSIDIC ACID," 1,206,658 ",0.19%,76.92%,IN,,,
FUSIDIC ACID!HYDROCORTISONE," 221,936 ",0.03%,94.76%,NEXT,,,
GABAPENTIN," 3,862,269 ",0.60%,46.98%,IN,,,
GALANTAMINE," 690,225 ",0.11%,85.36%,IN,,,
GANCICLOVIR, 314 ,0.00%,99.99%,,,,
GANIRELEX," 10,386 ",0.00%,99.77%,,,,
GARLIC," 4,057 ",0.00%,99.91%,,,,
GATIFLOXACIN," 230,565 ",0.04%,94.54%,NEXT,,,
GAULTHERIA OIL, 130 ,0.00%,100.00%,,,,
GEFITINIB," 4,405 ",0.00%,99.90%,,,,
GELATIN!PECTIN!SODIUM, 3 ,0.00%,100.00%,,,,
GEMCITABINE, 6 ,0.00%,100.00%,,,,
GEMFIBROZIL," 40,180 ",0.01%,99.02%,,,,
GEMIFLOXACIN, -   ,0.00%,100.00%,,,,
GENTAMICIN, 581 ,0.00%,99.99%,,,,
GERANIUM, 51 ,0.00%,100.00%,,,,
GINGER, 118 ,0.00%,100.00%,,,,
GINGER!WHITE WILLOW, 46 ,0.00%,100.00%,,,,
GINKGO BILOBA, 680 ,0.00%,99.98%,,,,
GINSENG, 687 ,0.00%,99.98%,,,,
GINSENG!MACA, -   ,0.00%,100.00%,,,,
GLATIRAMER," 55,786 ",0.01%,98.63%,,,,
GLICLAZIDE," 4,169,695 ",0.65%,44.47%,IN,,,
GLIMEPIRIDE," 65,491 ",0.01%,98.35%,NEXT,,,
GLIMEPIRIDE!ROSIGLITAZONE, -   ,0.00%,100.00%,,,,
GLUCAGON," 32,897 ",0.01%,99.23%,,,,
GLUCOSAMINE," 38,848 ",0.01%,99.05%,,,,
GLUCOSE," 10,439 ",0.00%,99.77%,,,,
GLUCOSE!HEPARIN, 2 ,0.00%,100.00%,,,,
GLUCOSE!LIDOCAINE, 1 ,0.00%,100.00%,,,,
GLUCOSE!NITROGLYCERIN, 22 ,0.00%,100.00%,,,,
GLUCOSE!POTASSIUM!SODIUM!WATER," 4,765 ",0.00%,99.89%,,,,
GLUCOSE!PROPYLENE GLYCOL!SODIUM, 174 ,0.00%,100.00%,,,,
GLUTAMIC ACID, 4 ,0.00%,100.00%,,,,
GLUTETHIMIDE, 31 ,0.00%,100.00%,,,,
GLYBURIDE," 1,755,660 ",0.27%,69.27%,IN,,,
GLYCEROL," 13,877 ",0.00%,99.70%,,,,
GLYCEROL!HAMAMELIS, 916 ,0.00%,99.98%,,,,
GLYCEROL!HYDROXYPROPYL CELLULOSE!NAPHAZOLINE, 1 ,0.00%,100.00%,,,,
GLYCEROL!HYPROMELLOSE, 453 ,0.00%,99.99%,,,,
GLYCEROL!ISOPROPYL ALCOHOL, 61 ,0.00%,100.00%,,,,
GLYCEROL!L-LACTIC ACID, 132 ,0.00%,100.00%,,,,
GLYCEROL!MAGNESIUM!PETROLATUM," 2,840 ",0.00%,99.93%,,,,
GLYCEROL!NAPHAZOLINE!ZINC, 28 ,0.00%,100.00%,,,,
GLYCEROL!PETROLATUM!PHENOLPHTHALEIN, -   ,0.00%,100.00%,,,,
GLYCEROL!POLYSORBATE 80, 38 ,0.00%,100.00%,,,,
GLYCEROL!PROPYLENE GLYCOL, 945 ,0.00%,99.98%,,,,
GLYCINE!SODIUM!WATER, 6 ,0.00%,100.00%,,,,
GLYCINE!YEAST," 1,415 ",0.00%,99.97%,,,,
GLYCOLIC ACID, 67 ,0.00%,100.00%,,,,
GLYCOLIC ACID!HYDROQUINONE, -   ,0.00%,100.00%,,,,
GLYCOPYRROLATE," 267,178 ",0.04%,93.69%,NEXT,,,
GLYCOPYRROLATE!INDACATEROL," 62,347 ",0.01%,98.48%,IN QA,,,
GOLD SODIUM THIOMALATE," 5,495 ",0.00%,99.87%,,,,
GOLIMUMAB," 62,126 ",0.01%,98.51%,,,,
GONADORELIN, 61 ,0.00%,100.00%,,,,
GONADOTROPIN CHORIONIC," 18,327 ",0.00%,99.59%,,,,
GOSERELIN," 32,227 ",0.01%,99.25%,,,,
GRAMICIDIN!LIDOCAINE!POLYMYXIN B, 957 ,0.00%,99.98%,,,,
GRAMICIDIN!NEOMYCIN!NYSTATIN!TRIAMCINOLONE," 20,229 ",0.00%,99.54%,,,,
GRAMICIDIN!NEOMYCIN!NYSTATIN!TRIAMCINOLONE ACETONIDE," 103,978 ",0.02%,97.40%,,,,
GRAMICIDIN!NEOMYCIN!POLYMYXIN B, 2 ,0.00%,100.00%,,,,
GRAMICIDIN!POLYMYXIN B," 263,843 ",0.04%,93.85%,NEXT,,,
Grand Total," 638,830,195 ",,,,,,
GRANISETRON," 18,148 ",0.00%,99.60%,,,,
GRISEOFULVIN, -   ,0.00%,100.00%,,,,
GUAIFENESIN," 7,245 ",0.00%,99.83%,,,,
GUAIFENESIN!HYDROCODONE!PHENYLEPHRINE, 7 ,0.00%,100.00%,,,,
GUAIFENESIN!IODINE!THEOPHYLLINE, 5 ,0.00%,100.00%,,,,
GUAIFENESIN!MENTHOL," 3,925 ",0.00%,99.91%,,,,
GUAIFENESIN!OXTRIPHYLLINE," 3,398 ",0.00%,99.93%,,,,
GUAIFENESIN!PHENYLPROPANOLAMINE, 8 ,0.00%,100.00%,,,,
GUAIFENESIN!PSEUDOEPHEDRINE," 2,416 ",0.00%,99.95%,,,,
GUAIFENESIN!PYRILAMINE, -   ,0.00%,100.00%,,,,
GUANFACINE," 185,326 ",0.03%,95.26%,,,,
HAEMAGGLUTININ (NON SPECIFIC)," 152,985 ",0.02%,96.13%,,,,
HAEMOPHILUS B POLYSACCARIDE, 49 ,0.00%,100.00%,,,,
HALCINONIDE, 31 ,0.00%,100.00%,,,,
HALOBETASOL," 25,427 ",0.00%,99.44%,,,,
HALOPERIDOL," 455,283 ",0.07%,89.54%,IN,,,
HAMAMELIS, 95 ,0.00%,100.00%,,,,
HEPARIN," 25,267 ",0.00%,99.45%,,,,
HEPARIN!ZINC, 356 ,0.00%,99.99%,,,,
HERBAL," 34,464 ",0.01%,99.18%,Not in scope,,,
HETASTARCH, -   ,0.00%,100.00%,,,,
HEXACHLOROPHENE," 2,059 ",0.00%,99.95%,,,,
HEXEDINE, 2 ,0.00%,100.00%,,,,
HEXYLRESORCINOL, 76 ,0.00%,100.00%,,,,
HEXYLRESORCINOL!MENTHOL, -   ,0.00%,100.00%,,,,
HOMATROPINE," 31,652 ",0.00%,99.26%,,,,
HOMEOPATHIC MEDICINE," 3,316 ",0.00%,99.93%,,,,
HOMOSALATE!OCTYL SALICYLATE!OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE, 53 ,0.00%,100.00%,,,,
HUMAN INSULIN," 178,709 ",0.03%,95.46%,,,,
HUMAN INSULIN ISOPHANE," 784,090 ",0.12%,83.64%,IN,,,
HUMAN INSULIN ZINC, -   ,0.00%,100.00%,,,,
HUMAN INSULIN!HUMAN INSULIN ISOPHANE," 306,291 ",0.05%,92.79%,NEXT,,,
HYALURONIC ACID," 2,879 ",0.00%,99.93%,,,,
HYALURONIC ACID!PERBORIC ACID!SODIUM, -   ,0.00%,100.00%,,,,
HYDRALAZINE," 332,477 ",0.05%,92.15%,IN,,,
HYDROCHLOROTHIAZIDE," 6,832,879 ",1.07%,30.78%,IN,,,
HYDROCHLOROTHIAZIDE!IRBESARTAN," 1,309,054 ",0.20%,75.39%,IN,,,
HYDROCHLOROTHIAZIDE!LISINOPRIL," 303,095 ",0.05%,92.98%,IN,,,
HYDROCHLOROTHIAZIDE!LOSARTAN," 715,458 ",0.11%,84.92%,IN,,,
HYDROCHLOROTHIAZIDE!METHYLDOPA, -   ,0.00%,100.00%,,,,
HYDROCHLOROTHIAZIDE!OLMESARTAN MEDOXOMIL," 615,002 ",0.10%,87.17%,IN,,,
HYDROCHLOROTHIAZIDE!PINDOLOL," 13,218 ",0.00%,99.72%,,,,
HYDROCHLOROTHIAZIDE!QUINAPRIL," 276,850 ",0.04%,93.39%,IN,,,
HYDROCHLOROTHIAZIDE!RAMIPRIL," 698,022 ",0.11%,85.14%,IN,,,
HYDROCHLOROTHIAZIDE!SPIRONOLACTONE," 111,013 ",0.02%,97.08%,,,,
HYDROCHLOROTHIAZIDE!TELMISARTAN," 756,351 ",0.12%,84.23%,IN,,,
HYDROCHLOROTHIAZIDE!TRIAMTERENE," 654,010 ",0.10%,86.09%,IN,,,
HYDROCHLOROTHIAZIDE!VALSARTAN," 1,527,465 ",0.24%,72.36%,IN,,,
HYDROCODONE," 272,082 ",0.04%,93.60%,IN,,,
HYDROCODONE!PHENIRAMINE!PYRILAMINE, -   ,0.00%,100.00%,,,,
HYDROCODONE!PHENYLEPHRINE," 31,638 ",0.00%,99.27%,,,,
HYDROCODONE!PHENYLTOLOXAMINE," 34,594 ",0.01%,99.18%,,,,
HYDROCORTISONE," 1,845,387 ",0.29%,67.86%,IN,,,
HYDROCORTISONE!NEOMYCIN!POLYMYXIN B, 18 ,0.00%,100.00%,,,,
HYDROCORTISONE!PRAMOXINE," 81,215 ",0.01%,97.95%,,,,
HYDROCORTISONE!PRAMOXINE!ZINC," 74,830 ",0.01%,98.16%,,,,
HYDROCORTISONE!UREA," 33,279 ",0.01%,99.22%,,,,
HYDROCORTISONE!ZINC," 333,424 ",0.05%,91.99%,NEXT,,,
HYDROGEN PEROXIDE," 1,937 ",0.00%,99.96%,,,,
HYDROGEN PEROXIDE!SODIUM, 35 ,0.00%,100.00%,,,,
HYDROMORPHONE," 4,394,043 ",0.69%,42.48%,QA ISSUES,Rev Bur,low,
HYDROQUINONE," 26,391 ",0.00%,99.43%,,,,
HYDROQUINONE!OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE!PADIMATE O, -   ,0.00%,100.00%,,,,
HYDROQUINONE!OXYBENZONE!PADIMATE O, 756 ,0.00%,99.98%,,,,
HYDROXOCOBALAMIN, 295 ,0.00%,99.99%,,,,
HYDROXYCHLOROQUINE," 899,331 ",0.14%,81.83%,IN,,,
HYDROXYPROPYL CELLULOSE," 47,655 ",0.01%,98.87%,,,,
HYDROXYUREA," 102,845 ",0.02%,97.45%,,,,
HYDROXYZINE," 748,742 ",0.12%,84.35%,IN,,,
HYOSCYAMINE, -   ,0.00%,100.00%,,,,
HYPROMELLOSE," 13,066 ",0.00%,99.72%,,,,
IBRUTINIB," 2,392 ",0.00%,99.95%,,,,
IBUPROFEN," 1,352,312 ",0.21%,74.35%,IN,Rev Bur,low,
IBUPROFEN!METHOCARBAMOL," 4,281 ",0.00%,99.90%,,,,
IBUPROFEN!PSEUDOEPHEDRINE," 4,550 ",0.00%,99.89%,,,,
ICATIBANT, 65 ,0.00%,100.00%,,,,
IDARUBICIN, -   ,0.00%,100.00%,,,,
IDELALISIB, 25 ,0.00%,100.00%,,,,
IDOXURIDINE, 6 ,0.00%,100.00%,,,,
IDURSULFASE, 679 ,0.00%,99.98%,,,,
IMATINIB," 26,743 ",0.00%,99.42%,,,,
IMIGLUCERASE, 537 ,0.00%,99.99%,,,,
IMIPRAMINE," 118,608 ",0.02%,96.88%,,,,
IMIQUIMOD," 48,361 ",0.01%,98.83%,,,,
IMMUNE GLOBULIN, -   ,0.00%,100.00%,,,,
INACTIVATED INFLUENZA VIRUS," 170,520 ",0.03%,95.73%,,,,
INDACATEROL," 106,550 ",0.02%,97.25%,IN QA,,,
INDAPAMIDE," 971,958 ",0.15%,80.82%,IN,,,
INDAPAMIDE!PERINDOPRIL," 1,565,908 ",0.25%,72.12%,IN,,,
INDINAVIR, 100 ,0.00%,100.00%,,,,
INDOMETHACIN," 445,102 ",0.07%,89.68%,IN,,,
INFANT FOOD, -   ,0.00%,100.00%,,,,
INFLIXIMAB," 193,498 ",0.03%,95.11%,,,,
INGENOL MEBUTATE," 9,640 ",0.00%,99.80%,,,,
INOSIPLEX, 55 ,0.00%,100.00%,,,,
INOSITOL, 1 ,0.00%,100.00%,,,,
INOSITOL!INOSITOL HEXANITRATE!NICOTINIC ACID, 567 ,0.00%,99.99%,,,,
INOSITOL!NIACINAMIDE," 1,238 ",0.00%,99.97%,,,,
INSULIN, -   ,0.00%,100.00%,,,,
INSULIN ASPART," 983,208 ",0.15%,80.66%,IN,Rev Bur,low,
INSULIN DETEMIR," 428,168 ",0.07%,90.29%,IN,Rev Bur,low,
INSULIN GLARGINE," 1,581,324 ",0.25%,71.88%,IN,,,
INSULIN GLULISINE," 102,485 ",0.02%,97.49%,,,,
INSULIN LISPRO," 788,309 ",0.12%,83.39%,IN,,,
INSULIN LISPRO!INSULIN LISPRO PROTAMINE," 119,081 ",0.02%,96.86%,,,,
INSULIN PORCINE BASE," 1,361 ",0.00%,99.97%,,,,
INTERFERON ALFA 2B," 2,761 ",0.00%,99.94%,,,,
INTERFERON ALFA 2B!RIBAVIRIN," 1,793 ",0.00%,99.96%,,,,
INTERFERON BETA," 10,525 ",0.00%,99.77%,,,,
INTERFERON BETA 1A," 58,150 ",0.01%,98.58%,,,,
INTERFERON BETA-1B, 823 ,0.00%,99.98%,,,,
IODINE, 77 ,0.00%,100.00%,,,,
IODINE!POTASSIUM, -   ,0.00%,100.00%,,,,
IODINE!SODIUM, -   ,0.00%,100.00%,,,,
IODOQUINOL, 119 ,0.00%,100.00%,,,,
IOHEXOL, -   ,0.00%,100.00%,,,,
IOPAMIDOL, 2 ,0.00%,100.00%,,,,
