"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"602","FLUDROCORTISONE 21-ACETATE","7526",1,"FLUDROCORTISONE 21-ACETATE","FLUDROCORTISONE 21-ACETATE","FLUDROCORTISONE 21-ACETATE",NA,NA,NA,NA,NA,NA
"603","FLUMAZENIL","1227",1,"FLUMAZENIL","FLUMAZENIL","FLUMAZENIL","40P7XK9392","40P7XK9392","FLUMAZENIL","Active Ingredient","",""
"604","FLUMETHASONE PIVALATE","7568",1,"FLUMETHASONE PIVALATE","FLUMETHASONE PIVALATE","FLUMETHASONE PIVALATE","0DV09X6F21","LR3CD8SX89","FLUMETHASONE","","",""
"605","FLUNARIZINE","11229",1,"FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)","FLUNARIZINE","FLUNARIZINE HYDROCHLORIDE","R7PLA2DM0J","R7PLA2DM0J","FLUNARIZINE","Active Ingredient","",""
"606","FLUNISOLIDE","2133",1,"FLUNISOLIDE","FLUNISOLIDE","FLUNISOLIDE","QK4DYS664X","78M02AA8KF","FLUNISOLIDE ANHYDROUS","Active Ingredient","",""
"607","FLUOCINOLONE ACETONIDE","7578",1,"FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE","0CD5FD6S2M","0CD5FD6S2M","FLUOCINOLONE ACETONIDE","Active Ingredient","",""
"608","FLUOCINONIDE","7579",1,"FLUOCINONIDE","FLUOCINONIDE","FLUOCINONIDE","2W4A77YPAN","2W4A77YPAN","FLUOCINONIDE","Active Ingredient","",""
"609","FLUORESCEIN SODIUM","5532",1,"FLUORESCEIN SODIUM","FLUORESCEIN SODIUM","FLUORESCEIN SODIUM","93X55PE38X","TPY09G7XIR","FLUORESCEIN","Active Moiety","",""
"610","FLUOROMETHOLONE","7576",1,"FLUOROMETHOLONE","FLUOROMETHOLONE","FLUOROMETHOLONE","SV0CSG527L","SV0CSG527L","FLUOROMETHOLONE","Active Ingredient","",""
"611","FLUOROMETHOLONE ACETATE","7577",1,"FLUOROMETHOLONE ACETATE","FLUOROMETHOLONE ACETATE","FLUOROMETHOLONE ACETATE","9I50C3I3OK","SV0CSG527L","FLUOROMETHOLONE","Active Ingredient","",""
"612","FLUOROURACIL","6311",1,"FLUOROURACIL","FLUOROURACIL","FLUOROURACIL","U3P01618RT","U3P01618RT","FLUOROURACIL","Active Ingredient","",""
"613","FLUOXETINE","11130",1,"FLUOXETINE (FLUOXETINE HYDROCHLORIDE)","FLUOXETINE","FLUOXETINE HYDROCHLORIDE","01K63SUP8D","01K63SUP8D","FLUOXETINE","Active Ingredient","",""
"614","FLUPENTIXOL","11347",1,"FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)","FLUPENTIXOL","FLUPENTIXOL DIHYDROCHLORIDE","FA0UYH6QUO","FA0UYH6QUO","FLUPENTIXOL","Active Ingredient","",""
"615","FLUPENTIXOL DECANOATE","1997",1,"FLUPENTIXOL DECANOATE","FLUPENTIXOL DECANOATE","FLUPENTIXOL DECANOATE","3B2FE28C1W","FA0UYH6QUO","FLUPENTIXOL","","",""
"616","FLUPHENAZINE DECANOATE","8007",1,"FLUPHENAZINE DECANOATE","FLUPHENAZINE DECANOATE","FLUPHENAZINE DECANOATE","FMU62K1L3C","S79426A41Z","FLUPHENAZINE","Active Ingredient","",""
"617","FLUPHENAZINE HYDROCHLORIDE","20269",1,"FLUPHENAZINE HYDROCHLORIDE","FLUPHENAZINE HYDROCHLORIDE","FLUPHENAZINE HYDROCHLORIDE","ZOU145W1XL","S79426A41Z","FLUPHENAZINE","Active Ingredient","",""
"618","FLURAZEPAM HYDROCHLORIDE","4015",1,"FLURAZEPAM HYDROCHLORIDE","FLURAZEPAM HYDROCHLORIDE","FLURAZEPAM HYDROCHLORIDE","756RDM536M","IHP475989U","FLURAZEPAM","Active Ingredient","",""
"619","FLURBIPROFEN","1914",1,"FLURBIPROFEN","FLURBIPROFEN","FLURBIPROFEN","5GRO578KLP","5GRO578KLP","FLURBIPROFEN","Active Ingredient","",""
"620","FLUTAMIDE","1847",1,"FLUTAMIDE","FLUTAMIDE","FLUTAMIDE","76W6J0943E","76W6J0943E","FLUTAMIDE","Active Ingredient","",""
"621","FLUTICASONE FUROATE","20155",1,"FLUTICASONE FUROATE","FLUTICASONE FUROATE","FLUTICASONE FUROATE","JS86977WNV","CUT2W21N7U","FLUTICASONE","Active Ingredient","",""
"622","FLUTICASONE PROPIONATE","637",1,"FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE","O2GMZ0LF5W","CUT2W21N7U","FLUTICASONE","Active Ingredient","",""
"623","FLUVASTATIN","11388",1,"FLUVASTATIN (FLUVASTATIN SODIUM)","FLUVASTATIN","FLUVASTATIN SODIUM","4L066368AS","4L066368AS","FLUVASTATIN","Active Ingredient","",""
"624","FLUVOXAMINE MALEATE","1212",1,"FLUVOXAMINE MALEATE","FLUVOXAMINE MALEATE","FLUVOXAMINE MALEATE","5LGN83G74V","O4L1XPO44W","FLUVOXAMINE","Active Ingredient","",""
"625","FOLIC ACID","4991",2,"FOLIC ACID|FOLIC ACID (SODIUM FOLATE)","FOLIC ACID","SODIUM FOLATE","935E97BOY8","935E97BOY8","FOLIC ACID","Active Ingredient","",""
"626","FOLLITROPIN ALFA","11457",1,"FOLLITROPIN ALFA","FOLLITROPIN ALFA","FOLLITROPIN ALFA",NA,NA,NA,NA,NA,NA
"627","FOLLITROPIN BETA","11463",1,"FOLLITROPIN BETA","FOLLITROPIN BETA","FOLLITROPIN BETA",NA,NA,NA,NA,NA,NA
"628","FOMEPIZOLE","12038",1,"FOMEPIZOLE","FOMEPIZOLE","FOMEPIZOLE","83LCM6L2BY","83LCM6L2BY","FOMEPIZOLE","Active Ingredient","",""
"629","FONDAPARINUX SODIUM","12253",1,"FONDAPARINUX SODIUM","FONDAPARINUX SODIUM","FONDAPARINUX SODIUM","X0Q6N9USOZ","J177FOW5JL","FONDAPARINUX","Active Ingredient","",""
"630","FORMOTEROL FUMARATE","11381",1,"FORMOTEROL FUMARATE","FORMOTEROL FUMARATE","FORMOTEROL FUMARATE","W34SHF8J2K","5ZZ84GCW8B","FORMOTEROL","Active Ingredient","",""
"631","FORMOTEROL FUMARATE","11381",1,"FORMOTEROL FUMARATE","FORMOTEROL FUMARATE","FORMOTEROL FUMARATE","W34SHF8J2K","5ZZ84GCW8B","FORMOTEROL","Reference Drug","P3T5QA5J9N","FORMOTEROL FUMARATE ANHYDROUS"
"632","FORMOTEROL FUMARATE DIHYDRATE","12633",1,"FORMOTEROL FUMARATE DIHYDRATE","FORMOTEROL FUMARATE DIHYDRATE","FORMOTEROL FUMARATE DIHYDRATE",NA,NA,NA,NA,NA,NA
"633","FOSAMPRENAVIR","13372",1,"FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM)","FOSAMPRENAVIR","FOSAMPRENAVIR CALCIUM","WOU1621EEG","5S0W860XNR","AMPRENAVIR","","",""
"634","FOSAPREPITANT","20449",1,"FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE)","FOSAPREPITANT","FOSAPREPITANT DIMEGLUMINE","6L8OF9XRDC","1NF15YR6UY","APREPITANT","Active Ingredient","",""
"635","FOSFOMYCIN","11861",1,"FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)","FOSFOMYCIN","FOSFOMYCIN TROMETHAMINE","2N81MY12TE","2N81MY12TE","FOSFOMYCIN","Active Ingredient","",""
"636","FOSINOPRIL SODIUM","1744",1,"FOSINOPRIL SODIUM","FOSINOPRIL SODIUM","FOSINOPRIL SODIUM","NW2RTH6T2N","S312EY6ZT8","FOSINOPRILAT","Active Ingredient","",""
"637","FOSPHENYTOIN SODIUM","11411",1,"FOSPHENYTOIN SODIUM","FOSPHENYTOIN SODIUM","FOSPHENYTOIN SODIUM","7VLR55452Z","6158TKW0C5","PHENYTOIN","Reference Drug","4182431BJH","PHENYTOIN SODIUM"
"638","FRAMYCETIN SULFATE","8626",1,"FRAMYCETIN SULFATE","FRAMYCETIN SULFATE","FRAMYCETIN SULFATE","Y3720KZ4TQ","4BOC774388","FRAMYCETIN","","",""
"639","FROVATRIPTAN","13350",2,"FROVATRIPTAN (FROVATRIPTAN SUCCINATE)|FROVATRIPTAN (Frovatriptan Succinate Monohydrate)","FROVATRIPTAN","FROVATRIPTAN SUCCINATE|Frovatriptan Succinate Monohydrate","H82Q2D5WA7","H82Q2D5WA7","FROVATRIPTAN","Active Ingredient","",""
"640","FULVESTRANT","13276",1,"FULVESTRANT","FULVESTRANT","FULVESTRANT","22X328QOC4","22X328QOC4","FULVESTRANT","Active Ingredient","",""
"641","FUROSEMIDE","10091",1,"FUROSEMIDE","FUROSEMIDE","FUROSEMIDE","7LXU5N7ZO5","7LXU5N7ZO5","FUROSEMIDE","Active Ingredient","",""
"642","FUSIDATE SODIUM","8505",1,"FUSIDATE SODIUM","FUSIDATE SODIUM","FUSIDATE SODIUM","J7P3696BCQ","59XE10C19C","FUSIDIC ACID","","",""
"643","FUSIDIC ACID","8504",1,"FUSIDIC ACID","FUSIDIC ACID","FUSIDIC ACID","59XE10C19C","59XE10C19C","FUSIDIC ACID","Active Ingredient","",""
"644","GABAPENTIN","470",1,"GABAPENTIN","GABAPENTIN","GABAPENTIN","6CW7F3G59X","6CW7F3G59X","GABAPENTIN","Active Ingredient","",""
"645","GADOBENATE DIMEGLUMINE","12297",1,"GADOBENATE DIMEGLUMINE","GADOBENATE DIMEGLUMINE","GADOBENATE DIMEGLUMINE","3Q6PPC19PO","AZV954TZ9N","GADOLINIUM CATION (3+)","Active Ingredient","",""
"646","GADOBUTROL","11922",1,"GADOBUTROL","GADOBUTROL","GADOBUTROL","1BJ477IO2L","AZV954TZ9N","GADOLINIUM CATION (3+)","Active Ingredient","",""
"647","GADODIAMIDE","420",1,"GADODIAMIDE","GADODIAMIDE","GADODIAMIDE","84F6U3J2R6","84F6U3J2R6","GADODIAMIDE","Active Ingredient","",""
"648","GADOPENTETATE DIMEGLUMINE","885",1,"GADOPENTETATE DIMEGLUMINE","GADOPENTETATE DIMEGLUMINE","GADOPENTETATE DIMEGLUMINE","RH248G8V27","V7OK6J19HQ","GADOPENTETATE","Active Ingredient","",""
"649","GADOTERIDOL","741",1,"GADOTERIDOL","GADOTERIDOL","GADOTERIDOL","0199MV609F","0199MV609F","GADOTERIDOL","Active Ingredient","",""
"650","GADOVERSETAMIDE","12039",1,"GADOVERSETAMIDE","GADOVERSETAMIDE","GADOVERSETAMIDE","RLM74T3Z9D","AZV954TZ9N","GADOLINIUM CATION (3+)","Active Ingredient","",""
"651","GADOXETATE DISODIUM","20566",1,"GADOXETATE DISODIUM","GADOXETATE DISODIUM","GADOXETATE DISODIUM","HOY74VZE0M","AZV954TZ9N","GADOLINIUM CATION (3+)","Active Ingredient","",""
"652","GALANTAMINE","12329",1,"GALANTAMINE (GALANTAMINE HYDROBROMIDE)","GALANTAMINE","GALANTAMINE HYDROBROMIDE","0D3Q044KCA","0D3Q044KCA","GALANTAMINE","Active Ingredient","",""
"653","GALSULFASE","22147",1,"Galsulfase","Galsulfase","Galsulfase","59UA429E5G","59UA429E5G","GALSULFASE","Active Ingredient","",""
"654","GANCICLOVIR","135",1,"GANCICLOVIR (GANCICLOVIR SODIUM)","GANCICLOVIR","GANCICLOVIR SODIUM","P9G3CKZ4P5","P9G3CKZ4P5","GANCICLOVIR","Active Ingredient","",""
"655","GANIRELIX","12713",1,"GANIRELIX (GANIRELIX ACETATE)","GANIRELIX","GANIRELIX ACETATE","IX503L9WN0","IX503L9WN0","GANIRELIX","Active Ingredient","",""
"656","GATIFLOXACIN","12056",1,"GATIFLOXACIN","GATIFLOXACIN","GATIFLOXACIN","L4618BD7KJ","81485Y3A9A","GATIFLOXACIN ANHYDROUS","Active Ingredient","",""
"657","GEFITINIB","13090",1,"GEFITINIB","GEFITINIB","GEFITINIB","S65743JHBS","S65743JHBS","GEFITINIB","Active Ingredient","",""
"658","GELATIN","8825",1,"GELATIN","GELATIN","GELATIN","2G86QN327L","2G86QN327L","GELATIN","Active Ingredient","",""
"659","GEMCITABINE","11262",1,"GEMCITABINE (GEMCITABINE HYDROCHLORIDE)","GEMCITABINE","GEMCITABINE HYDROCHLORIDE","B76N6SBZ8R","B76N6SBZ8R","GEMCITABINE","Active Ingredient","",""
"660","GEMFIBROZIL","1904",1,"GEMFIBROZIL","GEMFIBROZIL","GEMFIBROZIL","Q8X02027X3","Q8X02027X3","GEMFIBROZIL","Active Ingredient","",""
"661","GENTAMICIN","8632",2,"GENTAMICIN (GENTAMICIN SULFATE)|GENTAMICIN (GENTAMYCIN SULFATE)","GENTAMICIN","GENTAMICIN SULFATE|GENTAMYCIN SULFATE","T6Z9V48IKG","T6Z9V48IKG","GENTAMICIN","Active Ingredient","",""
"662","GENTAMICIN SULFATE","8630",1,"GENTAMICIN SULFATE","GENTAMICIN SULFATE","GENTAMICIN SULFATE","8X7386QRLV","T6Z9V48IKG","GENTAMICIN","Active Moiety","",""
"663","GENTIAN VIOLET","6820",1,"GENTIAN VIOLET","GENTIAN VIOLET","GENTIAN VIOLET","J4Z741D6O5","3GVJ31T6YY","GENTIAN VIOLET CATION","Active Ingredient","",""
"664","GLATIRAMER ACETATE","11533",1,"GLATIRAMER ACETATE","GLATIRAMER ACETATE","GLATIRAMER ACETATE","5M691HL4BO","U782C039QP","GLATIRAMER","Active Ingredient","",""
"665","GLICLAZIDE","1327",1,"GLICLAZIDE","GLICLAZIDE","GLICLAZIDE","G4PX8C4HKV","G4PX8C4HKV","GLICLAZIDE","Active Ingredient","",""
"666","GLIMEPIRIDE","12597",1,"GLIMEPIRIDE","GLIMEPIRIDE","GLIMEPIRIDE","6KY687524K","6KY687524K","GLIMEPIRIDE","Active Ingredient","",""
"667","GLUCAGON","12072",2,"GLUCAGON (RECOMBINANT DNA ORIGIN)|GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)","GLUCAGON","RECOMBINANT DNA ORIGIN|RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE","76LA80IG2G","76LA80IG2G","GLUCAGON","Active Ingredient","",""
"668","GLUTAMIC ACID","8872",1,"GLUTAMIC ACID","GLUTAMIC ACID","GLUTAMIC ACID","3KX376GY7L","3KX376GY7L","GLUTAMIC ACID","Active Ingredient","",""
"669","GLUTATHIONE DISULFIDE","1951",1,"GLUTATHIONE DISULFIDE","GLUTATHIONE DISULFIDE","GLUTATHIONE DISULFIDE",NA,NA,NA,NA,NA,NA
"670","GLYBURIDE","4007",1,"GLYBURIDE","GLYBURIDE","GLYBURIDE","SX6K58TVWC","SX6K58TVWC","GLYBURIDE","Active Ingredient","",""
"671","GLYCERINE","7104",1,"GLYCERINE","GLYCERINE","GLYCERINE",NA,NA,NA,NA,NA,NA
"672","GLYCINE","8865",1,"GLYCINE","GLYCINE","GLYCINE","TE7660XO1C","TE7660XO1C","GLYCINE","Active Ingredient","",""
"673","GLYCOL SALICYLATE","9724",1,"GLYCOL SALICYLATE","GLYCOL SALICYLATE","GLYCOL SALICYLATE",NA,NA,NA,NA,NA,NA
"674","GLYCOPYRROLATE","9967",1,"GLYCOPYRROLATE","GLYCOPYRROLATE","GLYCOPYRROLATE","V92SO9WP2I","A14FB57V1D","GLYCOPYRRONIUM","Active Ingredient","",""
"675","GLYCOPYRRONIUM","21481",1,"Glycopyrronium (Glycopyrronium Bromide)","Glycopyrronium","Glycopyrronium Bromide",NA,NA,NA,NA,NA,NA
"676","GOLD SODIUM THIOMALATE","6469",1,"GOLD SODIUM THIOMALATE","GOLD SODIUM THIOMALATE","GOLD SODIUM THIOMALATE","E4768ZY6GM","3D8CUH9F21","GOLD CATION (1+)","Active Ingredient","",""
"677","GOLIMUMAB","20450",1,"GOLIMUMAB","GOLIMUMAB","GOLIMUMAB","91X1KLU43E","91X1KLU43E","GOLIMUMAB","Active Ingredient","",""
"678","GONADORELIN","11313",1,"GONADORELIN (GONADORELIN ACETATE)","GONADORELIN","GONADORELIN ACETATE","9O7312W37G","9O7312W37G","GONADORELIN","Active Ingredient","",""
"679","GONADORELIN ACETATE","7330",1,"GONADORELIN ACETATE","GONADORELIN ACETATE","GONADORELIN ACETATE","2RG1XQ1NYJ","9O7312W37G","GONADORELIN","","",""
"680","GOSERELIN","11167",1,"GOSERELIN (GOSERELIN ACETATE)","GOSERELIN","GOSERELIN ACETATE","0F65R8P09N","0F65R8P09N","GOSERELIN","Active Ingredient","",""
"681","GRAMICIDIN","8523",1,"GRAMICIDIN","GRAMICIDIN","GRAMICIDIN","5IE62321P4","5IE62321P4","GRAMICIDIN","Active Ingredient","",""
"682","GRANISETRON","11382",1,"GRANISETRON (GRANISETRON HYDROCHLORIDE)","GRANISETRON","GRANISETRON HYDROCHLORIDE","WZG3J2MCOL","WZG3J2MCOL","GRANISETRON","Active Ingredient","",""
"683","GRASS POLLEN ALLERGEN EXTRACT","21252",1,"Grass Pollen Allergen Extract","Grass Pollen Allergen Extract","Grass Pollen Allergen Extract",NA,NA,NA,NA,NA,NA
"684","GRAZOPREVIR","22679",1,"GRAZOPREVIR","GRAZOPREVIR","GRAZOPREVIR","4O2AB118LA","8YE81R1X1J","GRAZOPREVIR ANHYDROUS","Active Moiety","",""
"685","GUAIACOL","9129",1,"GUAIACOL","GUAIACOL","GUAIACOL","6JKA7MAH9C","6JKA7MAH9C","GUAIACOL","Active Ingredient","",""
"686","GUAIACOL CARBONATE","6896",1,"GUAIACOL CARBONATE","GUAIACOL CARBONATE","GUAIACOL CARBONATE","Q71XPQ6R29","6JKA7MAH9C","GUAIACOL","","",""
"687","GUAIFENESIN","9615",1,"GUAIFENESIN","GUAIFENESIN","GUAIFENESIN","495W7451VQ","495W7451VQ","GUAIFENESIN","Active Ingredient","",""
"688","GUANFACINE","22124",1,"Guanfacine (GUANFACINE HYDROCHLORIDE)","Guanfacine","GUANFACINE HYDROCHLORIDE","30OMY4G3MK","30OMY4G3MK","GUANFACINE","Active Ingredient","",""
"689","HAEMAGGLUTININ-STRAIN A","743",1,"HAEMAGGLUTININ-STRAIN A(H3N2)","HAEMAGGLUTININ-STRAIN A","H3N2",NA,NA,NA,NA,NA,NA
"690","HAEMAGGLUTININ-STRAIN A","744",1,"HAEMAGGLUTININ-STRAIN A(H1N1)","HAEMAGGLUTININ-STRAIN A","H1N1",NA,NA,NA,NA,NA,NA
"691","HAEMAGGLUTININ-STRAIN B","742",1,"HAEMAGGLUTININ-STRAIN B","HAEMAGGLUTININ-STRAIN B","HAEMAGGLUTININ-STRAIN B",NA,NA,NA,NA,NA,NA
"692","HAEMAGGLUTININ-STRAIN B","22250",1,"HAEMAGGLUTININ-STRAIN B (Victoria)","HAEMAGGLUTININ-STRAIN B","Victoria",NA,NA,NA,NA,NA,NA
"693","HAEMAGGLUTININ-STRAIN B","22251",1,"HAEMAGGLUTININ-STRAIN B (Yamagata)","HAEMAGGLUTININ-STRAIN B","Yamagata",NA,NA,NA,NA,NA,NA
"694","HAEMOPHILUS INFLUENZAE TYPE B-PRP","7795",1,"HAEMOPHILUS INFLUENZAE TYPE B-PRP","HAEMOPHILUS INFLUENZAE TYPE B-PRP","HAEMOPHILUS INFLUENZAE TYPE B-PRP",NA,NA,NA,NA,NA,NA
"695","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE","12127",1,"HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T)","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE","PRP-T",NA,NA,NA,NA,NA,NA
"696","HALOBETASOL PROPIONATE","7555",1,"HALOBETASOL PROPIONATE","HALOBETASOL PROPIONATE","HALOBETASOL PROPIONATE","91A0K1TY3Z","9P6159HM7T","HALOBETASOL","Active Ingredient","",""
"697","HALOPERIDOL","10146",2,"HALOPERIDOL|HALOPERIDOL (HALOPERIDOL DECANOATE)","HALOPERIDOL","HALOPERIDOL DECANOATE","J6292F8L3D","J6292F8L3D","HALOPERIDOL","Active Ingredient","",""
"698","HALOTHANE","9670",1,"HALOTHANE","HALOTHANE","HALOTHANE","UQT9G45D1P","UQT9G45D1P","HALOTHANE","Active Ingredient","",""
"699","HAMAMELIS VIRGINIANA","6854",1,"HAMAMELIS VIRGINIANA","HAMAMELIS VIRGINIANA","HAMAMELIS VIRGINIANA",NA,NA,NA,NA,NA,NA
"700","HELIUM","2334",1,"HELIUM","HELIUM","HELIUM","206GF3GB41","206GF3GB41","HELIUM","Active Ingredient","",""
"701","HEPARIN","11364",1,"HEPARIN (HEPARIN SODIUM)","HEPARIN","HEPARIN SODIUM","T2410KM04A","T2410KM04A","HEPARIN","Active Ingredient","",""
"702","HEPARIN SODIUM","9060",1,"HEPARIN SODIUM","HEPARIN SODIUM","HEPARIN SODIUM","ZZ45AB24CA","T2410KM04A","HEPARIN","Active Moiety","",""
"703","HEPATITIS A VACCINE, INACTIVATED","348",1,"HEPATITIS A VACCINE, INACTIVATED","HEPATITIS A VACCINE, INACTIVATED","HEPATITIS A VACCINE, INACTIVATED",NA,NA,NA,NA,NA,NA
"704","HEPATITIS B IMMUNE GLOBULIN HUMAN","7764",1,"HEPATITIS B IMMUNE GLOBULIN HUMAN","HEPATITIS B IMMUNE GLOBULIN HUMAN","HEPATITIS B IMMUNE GLOBULIN HUMAN",NA,NA,NA,NA,NA,NA
"705","HEPATITIS B SURFACE ANTIGEN","7746",1,"HEPATITIS B SURFACE ANTIGEN (RECOMBINANT)","HEPATITIS B SURFACE ANTIGEN","RECOMBINANT",NA,NA,NA,NA,NA,NA
"706","HEXACHLOROPHENE","9751",1,"HEXACHLOROPHENE","HEXACHLOROPHENE","HEXACHLOROPHENE","IWW5FV6NK2","IWW5FV6NK2","HEXACHLOROPHENE","Active Ingredient","",""
"707","HEXAMINOLEVULINATE HYDROCHLORIDE","22564",1,"Hexaminolevulinate hydrochloride","Hexaminolevulinate hydrochloride","Hexaminolevulinate hydrochloride","D4F329SL1O","G7H20TKI67","HEXAMINOLEVULINATE","","",""
"708","HEXYLRESORCINOL","700",1,"HEXYLRESORCINOL","HEXYLRESORCINOL","HEXYLRESORCINOL","R9QTB5E82N","R9QTB5E82N","HEXYLRESORCINOL","Active Ingredient","",""
"709","HISTAMINE PHOSPHATE","6216",1,"HISTAMINE PHOSPHATE","HISTAMINE PHOSPHATE","HISTAMINE PHOSPHATE","QWB37T4WZZ","820484N8I3","HISTAMINE","Active Moiety","",""
"710","HISTIDINE","10237",1,"HISTIDINE","HISTIDINE","HISTIDINE","4QD397987E","4QD397987E","HISTIDINE","Active Ingredient","",""
"711","HISTRELIN ACETATE","18561",1,"HISTRELIN ACETATE","HISTRELIN ACETATE","HISTRELIN ACETATE","QMG7HLD1ZE","H50H3S3W74","HISTRELIN","Active Ingredient","",""
"712","HOMATROPINE HYDROBROMIDE","8954",1,"HOMATROPINE HYDROBROMIDE","HOMATROPINE HYDROBROMIDE","HOMATROPINE HYDROBROMIDE","BEW7469QZ0","8QS6WCL55Z","HOMATROPINE","Active Ingredient","",""
"713","HOMOSALATE","1970",1,"HOMOSALATE","HOMOSALATE","HOMOSALATE","V06SV4M95S","V06SV4M95S","HOMOSALATE","Active Ingredient","",""
"714","HONEY BEE VENOM PROTEIN","2027",1,"HONEY BEE VENOM PROTEIN","HONEY BEE VENOM PROTEIN","HONEY BEE VENOM PROTEIN",NA,NA,NA,NA,NA,NA
"715","HUMAN PLASMA PROTEINS","12888",1,"HUMAN PLASMA PROTEINS","HUMAN PLASMA PROTEINS","HUMAN PLASMA PROTEINS",NA,NA,NA,NA,NA,NA
"716","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1","19827",1,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1",NA,NA,NA,NA,NA,NA
"717","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2","19828",1,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2",NA,NA,NA,NA,NA,NA
"718","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3","19829",1,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3",NA,NA,NA,NA,NA,NA
"719","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4","19830",1,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4",NA,NA,NA,NA,NA,NA
"720","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1","19831",1,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1(8)","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1","8",NA,NA,NA,NA,NA,NA
"721","HYDRALAZINE HYDROCHLORIDE","6436",1,"HYDRALAZINE HYDROCHLORIDE","HYDRALAZINE HYDROCHLORIDE","HYDRALAZINE HYDROCHLORIDE","FD171B778Y","26NAK24LS8","HYDRALAZINE","Active Ingredient","",""
"722","HYDROCHLOROTHIAZIDE","10234",1,"HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","0J48LPH2TH","0J48LPH2TH","HYDROCHLOROTHIAZIDE","Active Ingredient","",""
"723","HYDROCODONE","20386",1,"HYDROCODONE","HYDROCODONE","HYDROCODONE","6YKS4Y3WQ7","6YKS4Y3WQ7","HYDROCODONE","Active Ingredient","",""
"724","HYDROCODONE BITARTRATE","6161",1,"HYDROCODONE BITARTRATE","HYDROCODONE BITARTRATE","HYDROCODONE BITARTRATE","NO70W886KK","6YKS4Y3WQ7","HYDROCODONE","Active Ingredient","",""
"725","HYDROCORTISONE","7532",3,"HYDROCORTISONE|HYDROCORTISONE (HYDROCORTISONE ACETATE)|HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE)","HYDROCORTISONE","HYDROCORTISONE ACETATE|HYDROCORTISONE SODIUM SUCCINATE","WI4X0X7BPJ","WI4X0X7BPJ","HYDROCORTISONE","Active Ingredient","",""
"726","HYDROCORTISONE ACETATE","7531",1,"HYDROCORTISONE ACETATE","HYDROCORTISONE ACETATE","HYDROCORTISONE ACETATE","3X7931PO74","WI4X0X7BPJ","HYDROCORTISONE","Active Ingredient","",""
"727","HYDROCORTISONE VALERATE","7509",1,"HYDROCORTISONE VALERATE","HYDROCORTISONE VALERATE","HYDROCORTISONE VALERATE","68717P8FUZ","WI4X0X7BPJ","HYDROCORTISONE","Active Ingredient","",""
"728","HYDROMORPHONE HYDROCHLORIDE","20280",1,"HYDROMORPHONE HYDROCHLORIDE","HYDROMORPHONE HYDROCHLORIDE","HYDROMORPHONE HYDROCHLORIDE","L960UP2KRW","Q812464R06","HYDROMORPHONE","Active Ingredient","",""
"729","HYDROQUINONE","4439",1,"HYDROQUINONE","HYDROQUINONE","HYDROQUINONE","XV74C1N1AE","XV74C1N1AE","HYDROQUINONE","Active Ingredient","",""
